Notice;Titre;Auteur;Editeur;ISBN;"Date publication";"Categorie prêt";Cote;CB;"Numéro inventaire";Statut;Perdu;Retiré;"Date création";"Dernier prêt";"Nb prêts";"Nb renouvellements";"Prêts période";PPN
482078;"Référentiel de médecine vasculaire et de chirurgie vasculaire";"Collège des enseignants de médecine vasculaire (CEMV) ; Collège français de chirurgie vasculaire (CFCV)";"Presses universitaires François-Rabelais";978-2-86906-669-4;2018;P_COURT;"WG 10  COL 2018";1052399102;V551525;Disponible;"Non perdu";"Non retiré";2019-07-02;2020-03-13;3;;3;230043054
518589;"Précis de cardiologie";"David Laflamme";Frison-Roche;978-2-87671-630-8;2020;P;"WG 10  LAF ";1052440637;V552330;Disponible;"Non perdu";"Non retiré";2020-09-16;2020-10-19;1;;1;246629061
363265;"Cardiologie aux épreuves classantes nationales";"Pierre Ambrosi,...";"Médecine sciences publications-[Lavoisier]";978-2-257-20468-4;2011;P;"WG 10 AMB 2012";1052008837;V531998;Disponible;"Non perdu";"Non retiré";2012-02-15;2014-10-22;3;;;15659952X
363265;"Cardiologie aux épreuves classantes nationales";"Pierre Ambrosi,...";"Médecine sciences publications-[Lavoisier]";978-2-257-20468-4;2011;E;"WG 10 AMB 2012";1052008820;V532001;Disponible;"Non perdu";"Non retiré";2012-02-15;;;;;15659952X
363265;"Cardiologie aux épreuves classantes nationales";"Pierre Ambrosi,...";"Médecine sciences publications-[Lavoisier]";978-2-257-20468-4;2011;P;"WG 10 AMB 2012";1052008844;V532000;Disponible;"Non perdu";"Non retiré";2012-02-15;2017-11-09;3;;;15659952X
363265;"Cardiologie aux épreuves classantes nationales";"Pierre Ambrosi,...";"Médecine sciences publications-[Lavoisier]";978-2-257-20468-4;2011;P;"WG 10 AMB 2012";1052008851;V531999;Disponible;"Non perdu";"Non retiré";2012-02-15;;;;;15659952X
363265;"Cardiologie aux épreuves classantes nationales";"Pierre Ambrosi,...";"Médecine sciences publications-[Lavoisier]";978-2-257-20468-4;2011;P;"WG 10 AMB 2012";1052008868;V531997;Disponible;"Non perdu";"Non retiré";2012-02-15;2013-09-10;2;;;15659952X
365366;"L'essentiel en cardiologie";"François Boustani";"Sauramps médical";978-2-84023-764-8;2012;P;"WG 10 BOU";1052013541;V532394;Disponible;"Non perdu";"Non retiré";2012-03-08;2015-11-01;4;;;158455088
432355;"L'essentiel en cardiologie";"François Boustani";"Sauramps médical";979-1-03030-091-8;2017;P;"WG 10 BOU";1052335315;V544793;Disponible;"Non perdu";"Non retiré";2017-03-14;2020-10-29;4;2;6;198437749
195288;Cardiologie;"Collège des enseignants de cardiologie Université Claude Bernard Lyon I | sous la dir. de Xavier André-Fouët";"Presses univ. de Lyon";2-7297-0636-4;1999;P;"WG 10 CAR";1050758406;476845;Disponible;"Non perdu";"Non retiré";2000-04-06;2008-03-06;9;;;04802984X
295451;"Cardiologie et maladies vasculaires";"[éd.] Société française de cardiologie";"Elsevier, Masson";978-2-294-04876-0;2007;P;"WG 10 CAR";1051586527;V520881;Disponible;"Non perdu";"Non retiré";2007-02-09;2011-09-06;3;;;113985126
295451;"Cardiologie et maladies vasculaires";"[éd.] Société française de cardiologie";"Elsevier, Masson";978-2-294-04876-0;2007;P;"WG 10 CAR";1051586534;V520882;Disponible;"Non perdu";"Non retiré";2007-02-09;2017-09-09;2;;;113985126
295451;"Cardiologie et maladies vasculaires";"[éd.] Société française de cardiologie";"Elsevier, Masson";978-2-294-04876-0;2007;P;"WG 10 CAR";1051608465;V521098;Disponible;"Non perdu";"Non retiré";2007-05-09;2012-02-08;6;;;113985126
318668;"Cardiologie pour le praticien";"F. Delahaye,... J.-Y. Artigou,... J.-C. Daubert,... [et al.]";Elsevier-Masson;978-2-294-08847-6;2008;P;"WG 10 CAR";1051615821;V524669;Disponible;"Non perdu";"Non retiré";2009-01-21;2010-03-05;2;;;129282146
302357;"Cardiologie et pathologies vasculaires";"sous la direction de Pierre Vladimir Ennezat";"Med-Line éd.";978-2-84678-083-4;2007;P;"WG 10 CAR 2007";1051597332;V522491;Disponible;"Non perdu";"Non retiré";2008-02-07;2013-11-26;6;;;11887716X
302357;"Cardiologie et pathologies vasculaires";"sous la direction de Pierre Vladimir Ennezat";"Med-Line éd.";978-2-84678-083-4;2007;P;"WG 10 CAR 2007";1051597301;V522492;Disponible;"Non perdu";"Non retiré";2008-02-07;2018-07-09;6;;1;11887716X
257002;Cardiologie;"Alain Castaigne,...Marielle Scherrer-Crosbie,...";"Flammarion Médecine-Sciences";2-257-12158-9;2004;P;"WG 10 CAS";1051173550;V515143;Disponible;"Non perdu";"Non retiré";2004-10-19;2012-11-10;26;;;081970218
257002;Cardiologie;"Alain Castaigne,...Marielle Scherrer-Crosbie,...";"Flammarion Médecine-Sciences";2-257-12158-9;2004;P;"WG 10 CAS";1051173543;V515144;Disponible;"Non perdu";"Non retiré";2004-10-19;2011-10-24;15;;;081970218
257002;Cardiologie;"Alain Castaigne,...Marielle Scherrer-Crosbie,...";"Flammarion Médecine-Sciences";2-257-12158-9;2004;P;"WG 10 CAS";1051173536;V515145;Disponible;"Non perdu";"Non retiré";2004-10-19;2011-07-21;17;;;081970218
257002;Cardiologie;"Alain Castaigne,...Marielle Scherrer-Crosbie,...";"Flammarion Médecine-Sciences";2-257-12158-9;2004;P;"WG 10 CAS";1051173529;V515146;Disponible;"Non perdu";"Non retiré";2004-10-19;2012-11-26;19;;;081970218
257002;Cardiologie;"Alain Castaigne,...Marielle Scherrer-Crosbie,...";"Flammarion Médecine-Sciences";2-257-12158-9;2004;E;"WG 10 CAS";1051173567;V515147;Disponible;"Non perdu";"Non retiré";2004-10-19;2005-02-09;1;;;081970218
229344;"Coeur et médecine interne";"[coord. par] Ariel Cohen et Nadia Belmatoug";Estem;2-84371-109-6;2002;P;"WG 10 COH T1";1050968386;480525/1;Disponible;"Non perdu";"Non retiré";2002-10-23;2020-10-15;7;1;4;066014182
229345;"Coeur et médecine interne";"[coord. par] Ariel Cohen et Nadia Belmatoug";Estem;2-84371-144-4;2002;P;"WG 10 COH T2";1050968393;480525/2;Disponible;"Non perdu";"Non retiré";2002-10-23;2020-10-15;7;1;4;066014247
338856;Cardiologie;"sous l'égide du Collège national des enseignants de cardiologie et de la Société française de cardiologie";"Elsevier Masson";"978-2-294-70694-3 | 978-2-294-74311-5";2010;P_COURT;"WG 10 COL 2010";1052068169;V536567;Disponible;Manquant;"Non retiré";2014-04-01;2017-07-19;7;;;146395077
406095;Cardiologie;"sous l'égide du Collège national des enseignants de cardiologie et de la Société française de cardiologie";"Elsevier Masson";978-2-294-71550-1;2015;P_COURT;"WG 10 COL 2015";1052093604;V538738;Disponible;"Non perdu";"Non retiré";2015-02-23;2019-10-11;53;7;22;183659562
406095;Cardiologie;"sous l'égide du Collège national des enseignants de cardiologie et de la Société française de cardiologie";"Elsevier Masson";978-2-294-71550-1;2015;P_COURT;"WG 10 COL 2015";1052098814;V539040;Disponible;"Non perdu";"Non retiré";2015-04-27;2020-09-10;41;2;9;183659562
406095;Cardiologie;"sous l'égide du Collège national des enseignants de cardiologie et de la Société française de cardiologie";"Elsevier Masson";978-2-294-71550-1;2015;P_COURT;"WG 10 COL 2015";1052098838;V539038;Disponible;Manquant;"Non retiré";2015-04-27;2017-07-19;17;;;183659562
406095;Cardiologie;"sous l'égide du Collège national des enseignants de cardiologie et de la Société française de cardiologie";"Elsevier Masson";978-2-294-71550-1;2015;E;"WG 10 COL 2015";1052098852;V539036;Disponible;Manquant;"Non retiré";2015-04-27;2016-03-17;1;;;183659562
406095;Cardiologie;"sous l'égide du Collège national des enseignants de cardiologie et de la Société française de cardiologie";"Elsevier Masson";978-2-294-71550-1;2015;E;"WG 10 COL 2015";1052129204;V539666;Disponible;"Non perdu";"Non retiré";2015-09-10;2016-05-21;1;;;183659562
406095;Cardiologie;"sous l'égide du Collège national des enseignants de cardiologie et de la Société française de cardiologie";"Elsevier Masson";978-2-294-71550-1;2015;P_COURT;"WG 10 COL 2015";1052129228;V539664;Disponible;"Non perdu";"Non retiré";2015-09-10;2019-10-25;46;3;17;183659562
406095;Cardiologie;"sous l'égide du Collège national des enseignants de cardiologie et de la Société française de cardiologie";"Elsevier Masson";978-2-294-71550-1;2015;P_COURT;"WG 10 COL 2015";1052129242;V539662;Disponible;"Non perdu";"Non retiré";2015-09-10;2019-10-05;47;5;20;183659562
406095;Cardiologie;"sous l'égide du Collège national des enseignants de cardiologie et de la Société française de cardiologie";"Elsevier Masson";978-2-294-71550-1;2015;P_COURT;"WG 10 COL 2015";1052129259;V539661;Disponible;"Non perdu";"Non retiré";2015-09-10;2019-10-18;43;4;15;183659562
406095;Cardiologie;"sous l'égide du Collège national des enseignants de cardiologie et de la Société française de cardiologie";"Elsevier Masson";978-2-294-71550-1;2015;P_COURT;"WG 10 COL 2015";1052098791;V539042;Disponible;"Non perdu";"Non retiré";2015-04-27;2019-10-25;49;3;16;183659562
406095;Cardiologie;"sous l'égide du Collège national des enseignants de cardiologie et de la Société française de cardiologie";"Elsevier Masson";978-2-294-71550-1;2015;P_COURT;"WG 10 COL 2015";1052098807;V539041;Disponible;"Non perdu";"Non retiré";2015-04-27;2019-10-14;50;4;22;183659562
406095;Cardiologie;"sous l'égide du Collège national des enseignants de cardiologie et de la Société française de cardiologie";"Elsevier Masson";978-2-294-71550-1;2015;P_COURT;"WG 10 COL 2015";1052098821;V539039;Disponible;"Non perdu";"Non retiré";2015-04-27;2020-01-14;50;;12;183659562
406095;Cardiologie;"sous l'égide du Collège national des enseignants de cardiologie et de la Société française de cardiologie";"Elsevier Masson";978-2-294-71550-1;2015;P_COURT;"WG 10 COL 2015";1052098845;V539037;Disponible;"Non perdu";"Non retiré";2015-04-27;2019-10-07;48;1;12;183659562
406095;Cardiologie;"sous l'égide du Collège national des enseignants de cardiologie et de la Société française de cardiologie";"Elsevier Masson";978-2-294-71550-1;2015;P_COURT;"WG 10 COL 2015";1052129198;V539660;Disponible;Manquant;"Non retiré";2015-09-10;2017-07-19;;;;183659562
406095;Cardiologie;"sous l'égide du Collège national des enseignants de cardiologie et de la Société française de cardiologie";"Elsevier Masson";978-2-294-71550-1;2015;P_COURT;"WG 10 COL 2015";1052129211;V539665;Disponible;"Non perdu";"Non retiré";2015-09-10;2020-10-09;47;5;25;183659562
406095;Cardiologie;"sous l'égide du Collège national des enseignants de cardiologie et de la Société française de cardiologie";"Elsevier Masson";978-2-294-71550-1;2015;P_COURT;"WG 10 COL 2015";1052129235;V539663;Disponible;"Non perdu";"Non retiré";2015-09-10;2020-09-11;45;4;19;183659562
411891;"Manuel de sémiologie vasculaire";"Collège des enseignants de médecine vasculaire";"Presses universitaires François-Rabelais";978-2-86906-393-8;2015;E;"WG 10 COL 2015";1052322377;V543538;Disponible;Manquant;"Non retiré";2016-10-25;2017-07-19;;;;187353662
411891;"Manuel de sémiologie vasculaire";"Collège des enseignants de médecine vasculaire";"Presses universitaires François-Rabelais";978-2-86906-393-8;2015;P;"WG 10 COL 2015";1052322384;V543542;Disponible;"Non perdu";"Non retiré";2016-10-25;2019-06-15;1;;1;187353662
411891;"Manuel de sémiologie vasculaire";"Collège des enseignants de médecine vasculaire";"Presses universitaires François-Rabelais";978-2-86906-393-8;2015;P;"WG 10 COL 2015";1052322391;V543541;Disponible;"Non perdu";"Non retiré";2016-10-25;2019-02-27;2;;2;187353662
411891;"Manuel de sémiologie vasculaire";"Collège des enseignants de médecine vasculaire";"Presses universitaires François-Rabelais";978-2-86906-393-8;2015;P;"WG 10 COL 2015";1052322407;V543539;Disponible;"Non perdu";"Non retiré";2016-10-25;2019-09-03;3;2;4;187353662
411891;"Manuel de sémiologie vasculaire";"Collège des enseignants de médecine vasculaire";"Presses universitaires François-Rabelais";978-2-86906-393-8;2015;P;"WG 10 COL 2015";1052322414;V543540;Disponible;"Non perdu";"Non retiré";2016-10-25;2019-09-02;3;;2;187353662
412524;"Référentiel de médecine vasculaire et de chirurgie vasculaire";"Collège des enseignants de médecine vasculaire (CEMV), Collège français de chirurgie vasculaire (CFCV)";"Presses universitaires François-Rabelais";978-2-86906-394-5;2015;P_COURT;"WG 10 COL 2015";1052142050;V540435;Disponible;"Non perdu";"Non retiré";2015-10-02;2019-06-06;27;3;8;187904987
412524;"Référentiel de médecine vasculaire et de chirurgie vasculaire";"Collège des enseignants de médecine vasculaire (CEMV), Collège français de chirurgie vasculaire (CFCV)";"Presses universitaires François-Rabelais";978-2-86906-394-5;2015;P_COURT;"WG 10 COL 2015";1052142043;V540436;Disponible;Manquant;"Non retiré";2015-10-02;2017-07-19;1;;;187904987
412524;"Référentiel de médecine vasculaire et de chirurgie vasculaire";"Collège des enseignants de médecine vasculaire (CEMV), Collège français de chirurgie vasculaire (CFCV)";"Presses universitaires François-Rabelais";978-2-86906-394-5;2015;P_COURT;"WG 10 COL 2015";1052142036;V540437;Disponible;"Non perdu";"Non retiré";2015-10-02;2019-01-09;19;4;11;187904987
412524;"Référentiel de médecine vasculaire et de chirurgie vasculaire";"Collège des enseignants de médecine vasculaire (CEMV), Collège français de chirurgie vasculaire (CFCV)";"Presses universitaires François-Rabelais";978-2-86906-394-5;2015;P_COURT;"WG 10 COL 2015";1052142029;V540438;Disponible;"Non perdu";"Non retiré";2015-10-02;2019-04-18;22;;4;187904987
412524;"Référentiel de médecine vasculaire et de chirurgie vasculaire";"Collège des enseignants de médecine vasculaire (CEMV), Collège français de chirurgie vasculaire (CFCV)";"Presses universitaires François-Rabelais";978-2-86906-394-5;2015;E;"WG 10 COL 2015";1052142012;V540439;Disponible;Manquant;"Non retiré";2015-10-02;2017-07-19;;;;187904987
412524;"Référentiel de médecine vasculaire et de chirurgie vasculaire";"Collège des enseignants de médecine vasculaire (CEMV), Collège français de chirurgie vasculaire (CFCV)";"Presses universitaires François-Rabelais";978-2-86906-394-5;2015;P_COURT;"WG 10 COL 2015";1052324395;V543713;Disponible;"Non perdu";"Non retiré";2016-10-28;2018-07-20;20;;6;187904987
412524;"Référentiel de médecine vasculaire et de chirurgie vasculaire";"Collège des enseignants de médecine vasculaire (CEMV), Collège français de chirurgie vasculaire (CFCV)";"Presses universitaires François-Rabelais";978-2-86906-394-5;2015;P_COURT;"WG 10 COL 2015";1052324401;V543712;Disponible;"Non perdu";"Non retiré";2016-10-28;2018-07-06;20;3;12;187904987
412524;"Référentiel de médecine vasculaire et de chirurgie vasculaire";"Collège des enseignants de médecine vasculaire (CEMV), Collège français de chirurgie vasculaire (CFCV)";"Presses universitaires François-Rabelais";978-2-86906-394-5;2015;P_COURT;"WG 10 COL 2015";1052324418;V543711;Disponible;"Non perdu";"Non retiré";2016-10-28;2018-04-06;8;2;4;187904987
412524;"Référentiel de médecine vasculaire et de chirurgie vasculaire";"Collège des enseignants de médecine vasculaire (CEMV), Collège français de chirurgie vasculaire (CFCV)";"Presses universitaires François-Rabelais";978-2-86906-394-5;2015;P_COURT;"WG 10 COL 2015";1052324425;V543710;Disponible;Manquant;"Non retiré";2016-10-28;2017-07-19;3;;;187904987
412524;"Référentiel de médecine vasculaire et de chirurgie vasculaire";"Collège des enseignants de médecine vasculaire (CEMV), Collège français de chirurgie vasculaire (CFCV)";"Presses universitaires François-Rabelais";978-2-86906-394-5;2015;P_COURT;"WG 10 COL 2015";1052324432;V543709;Disponible;"Non perdu";"Non retiré";2016-10-28;2020-08-31;18;2;12;187904987
406095;Cardiologie;"sous l'égide du Collège national des enseignants de cardiologie et de la Société française de cardiologie";"Elsevier Masson";978-2-294-71550-1;2015;P_COURT;"WG 10 COL 2015";1051896169;V550905;Disponible;"Non perdu";"Non retiré";2019-10-22;2020-10-27;4;;4;183659562
406095;Cardiologie;"sous l'égide du Collège national des enseignants de cardiologie et de la Société française de cardiologie";"Elsevier Masson";978-2-294-71550-1;2015;P_COURT;"WG 10 COL 2015";1051896343;V551263;Disponible;"Non perdu";"Non retiré";2019-11-20;;;;;183659562
482078;"Référentiel de médecine vasculaire et de chirurgie vasculaire";"Collège des enseignants de médecine vasculaire (CEMV) ; Collège français de chirurgie vasculaire (CFCV)";"Presses universitaires François-Rabelais";978-2-86906-669-4;2018;P_COURT;"WG 10 COL 2018";1052369082;V547996;Disponible;"Non perdu";"Non retiré";2018-09-17;2020-10-29;10;;10;230043054
482078;"Référentiel de médecine vasculaire et de chirurgie vasculaire";"Collège des enseignants de médecine vasculaire (CEMV) ; Collège français de chirurgie vasculaire (CFCV)";"Presses universitaires François-Rabelais";978-2-86906-669-4;2018;P_COURT;"WG 10 COL 2018";1052369044;V547992;Disponible;"Non perdu";"Non retiré";2018-09-17;2020-03-13;6;2;8;230043054
482078;"Référentiel de médecine vasculaire et de chirurgie vasculaire";"Collège des enseignants de médecine vasculaire (CEMV) ; Collège français de chirurgie vasculaire (CFCV)";"Presses universitaires François-Rabelais";978-2-86906-669-4;2018;P_COURT;"WG 10 COL 2018";1052368962;V547984;Disponible;"Non perdu";"Non retiré";2018-09-17;2020-03-13;3;1;4;230043054
482078;"Référentiel de médecine vasculaire et de chirurgie vasculaire";"Collège des enseignants de médecine vasculaire (CEMV) ; Collège français de chirurgie vasculaire (CFCV)";"Presses universitaires François-Rabelais";978-2-86906-669-4;2018;P_COURT;"WG 10 COL 2018";1052369013;V547989;Disponible;"Non perdu";"Non retiré";2018-09-17;2020-03-13;10;;10;230043054
482078;"Référentiel de médecine vasculaire et de chirurgie vasculaire";"Collège des enseignants de médecine vasculaire (CEMV) ; Collège français de chirurgie vasculaire (CFCV)";"Presses universitaires François-Rabelais";978-2-86906-669-4;2018;P_COURT;"WG 10 COL 2018";1052369020;V547990;Disponible;"Non perdu";"Non retiré";2018-09-17;2020-03-13;5;1;6;230043054
482078;"Référentiel de médecine vasculaire et de chirurgie vasculaire";"Collège des enseignants de médecine vasculaire (CEMV) ; Collège français de chirurgie vasculaire (CFCV)";"Presses universitaires François-Rabelais";978-2-86906-669-4;2018;P_COURT;"WG 10 COL 2018";1052369075;V547995;Disponible;"Non perdu";"Non retiré";2018-09-17;2020-03-13;4;;4;230043054
482078;"Référentiel de médecine vasculaire et de chirurgie vasculaire";"Collège des enseignants de médecine vasculaire (CEMV) ; Collège français de chirurgie vasculaire (CFCV)";"Presses universitaires François-Rabelais";978-2-86906-669-4;2018;P_COURT;"WG 10 COL 2018";1052369037;V547991;Disponible;"Non perdu";"Non retiré";2018-09-17;2019-09-02;4;1;5;230043054
482078;"Référentiel de médecine vasculaire et de chirurgie vasculaire";"Collège des enseignants de médecine vasculaire (CEMV) ; Collège français de chirurgie vasculaire (CFCV)";"Presses universitaires François-Rabelais";978-2-86906-669-4;2018;P_COURT;"WG 10 COL 2018";1052368993;V547987;Disponible;"Non perdu";"Non retiré";2018-09-17;2020-09-09;7;2;9;230043054
482078;"Référentiel de médecine vasculaire et de chirurgie vasculaire";"Collège des enseignants de médecine vasculaire (CEMV) ; Collège français de chirurgie vasculaire (CFCV)";"Presses universitaires François-Rabelais";978-2-86906-669-4;2018;P_COURT;"WG 10 COL 2018";1052369006;V547988;Disponible;"Non perdu";"Non retiré";2018-09-17;2019-05-06;4;2;6;230043054
482078;"Référentiel de médecine vasculaire et de chirurgie vasculaire";"Collège des enseignants de médecine vasculaire (CEMV) ; Collège français de chirurgie vasculaire (CFCV)";"Presses universitaires François-Rabelais";978-2-86906-669-4;2018;E;"WG 10 COL 2018";1052368948;V547982;Disponible;"Non perdu";"Non retiré";2018-09-17;;;;;230043054
482078;"Référentiel de médecine vasculaire et de chirurgie vasculaire";"Collège des enseignants de médecine vasculaire (CEMV) ; Collège français de chirurgie vasculaire (CFCV)";"Presses universitaires François-Rabelais";978-2-86906-669-4;2018;P_COURT;"WG 10 COL 2018";1052369051;V547993;Disponible;"Non perdu";"Non retiré";2018-09-17;2020-09-09;12;2;14;230043054
482078;"Référentiel de médecine vasculaire et de chirurgie vasculaire";"Collège des enseignants de médecine vasculaire (CEMV) ; Collège français de chirurgie vasculaire (CFCV)";"Presses universitaires François-Rabelais";978-2-86906-669-4;2018;P_COURT;"WG 10 COL 2018";1052368955;V547983;Disponible;"Non perdu";"Non retiré";2018-09-17;2020-03-13;9;;9;230043054
482078;"Référentiel de médecine vasculaire et de chirurgie vasculaire";"Collège des enseignants de médecine vasculaire (CEMV) ; Collège français de chirurgie vasculaire (CFCV)";"Presses universitaires François-Rabelais";978-2-86906-669-4;2018;P_COURT;"WG 10 COL 2018";1052368979;V547985;Disponible;"Non perdu";"Non retiré";2018-09-17;2020-03-13;5;;5;230043054
482078;"Référentiel de médecine vasculaire et de chirurgie vasculaire";"Collège des enseignants de médecine vasculaire (CEMV) ; Collège français de chirurgie vasculaire (CFCV)";"Presses universitaires François-Rabelais";978-2-86906-669-4;2018;P_COURT;"WG 10 COL 2018";1052368986;V547986;Disponible;"Non perdu";"Non retiré";2018-09-17;2020-09-08;6;;6;230043054
482078;"Référentiel de médecine vasculaire et de chirurgie vasculaire";"Collège des enseignants de médecine vasculaire (CEMV) ; Collège français de chirurgie vasculaire (CFCV)";"Presses universitaires François-Rabelais";978-2-86906-669-4;2018;P_COURT;"WG 10 COL 2018";1052369068;V547994;Disponible;"Non perdu";"Non retiré";2018-09-17;2020-09-11;5;;5;230043054
506633;"Médecine cardiovasculaire";"sous l'égide du Collège national des enseignants de cardiologie (CNEC)";"Elsevier Masson";978-2-294-76332-8;2019;P_COURT;"WG 10 COL 2019";1052419794;V551165;Disponible;"Non perdu";"Non retiré";2019-11-07;2020-03-03;7;;7;240555325
506633;"Médecine cardiovasculaire";"sous l'égide du Collège national des enseignants de cardiologie (CNEC)";"Elsevier Masson";978-2-294-76332-8;2019;P_COURT;"WG 10 COL 2019";1052419923;V551185;Disponible;"Non perdu";"Non retiré";2019-11-07;2020-10-28;8;;8;240555325
506633;"Médecine cardiovasculaire";"sous l'égide du Collège national des enseignants de cardiologie (CNEC)";"Elsevier Masson";978-2-294-76332-8;2019;P_COURT;"WG 10 COL 2019";1052419879;V551191;Disponible;"Non perdu";"Non retiré";2019-11-07;2020-10-29;10;;10;240555325
506633;"Médecine cardiovasculaire";"sous l'égide du Collège national des enseignants de cardiologie (CNEC)";"Elsevier Masson";978-2-294-76332-8;2019;P_COURT;"WG 10 COL 2019";1052419831;V551167;Disponible;"Non perdu";"Non retiré";2019-11-07;2020-03-10;6;;6;240555325
506633;"Médecine cardiovasculaire";"sous l'égide du Collège national des enseignants de cardiologie (CNEC)";"Elsevier Masson";978-2-294-76332-8;2019;P_COURT;"WG 10 COL 2019";1052419800;V551164;Disponible;"Non perdu";"Non retiré";2019-11-07;2020-10-29;11;;11;240555325
